SampleI D,Long.,Lat.,pH,Cond. (μS),TDS(mg/ l),DO(mg/l),Ca(mg/ l),Mg(mg/l),Na(m g/l),K(mg/l),Cl(mg/l),HCO3(mg/l),SO4(mg/l),PO4(mg/l),SiO2,18OD,D,d-ex ,WQI
pre15,76.69,11.41,7.1,292,233.6,4.8,24,6.05,55,5,85.2,122,0.6,1.2,15,-4.72,-30.43,7.33,93.41
pre15,76.68,11.4,7.2,181,144.8,3.8,28,11.52,39,3,120.7,73.2,0.4,0.87,1.19,-4.79,-30.77,7.55,85.5
pre15,76.68,11.41,6.9,211,168.8,3.6,28,11.52,43,2,85.2,146.4,0.22,0.72,1.19,-4.84,-33.73,4.99,98.4
pre15,76.68,11.41,6.7,141,112.8,3.3,18,13.98,31,2,121.3,24.4,0.54,0.31,3.2,-4.89,-31.49,7.63,73.06
pre15,76.68,11.41,6.6,203,162.4,3.5,24,10.91,47,3,113.6,48.8,0.38,0.57,5.27,-4.86,-31.1,7.78,79.78
pre15,76.69,11.4,6.5,272,217.6,3.6,32,6.2,35,4,71,97.6,0.5,0.28,8.03,-4.81,-32.32,6.16,80.15
pre15,76.69,11.4,6.8,259,207.2,3,28,6.66,37,4,85.2,97.6,0.06,0.04,7.13,-4.83,-32.19,6.45,82.93
pre15,76.69,11.4,6.8,325,260,3.3,48,6.97,31,6,85.2,73.2,0.4,0.23,8.51,-4.85,-29.99,8.81,82.52
pre15,76.69,11.4,6.8,255,204,3.2,30,10.65,37,4,78.1,88.8,0.38,0.25,49.25,-4.24,-30.19,3.73,85.52
pre15,76.69,11.4,6.6,375,300,3.2,16,4.87,31,8,63.9,73.2,0.08,0.12,16.52,-4.68,-28.88,8.56,79.61
pre15,76.69,11.41,6.7,319,255.2,3.2,12,3.05,68,4,76.2,146.4,0.2,0,9.13,-4.55,-29.73,6.67,96
pre15,76.69,11.4,6.7,265,212,3.2,20,1.84,74,6,124.25,97.6,2.99,1.29,37.65,-4.84,-27.9,10.82,88.69
pre15,76.69,11.4,6.4,894,715.2,3,28,6.66,102,5,145.55,170.8,0.17,1.41,4.23,-5.19,-29.83,11.69,168.24
mon15,76.69,11.41,6,560,448,4.3,40,3.25,61,10,78.1,244,0.19,0.1,3.2,-4.21,-24.98,8.7,136.81
mon15,76.68,11.4,6.2,500,400,4.6,58,9.74,51,10,99.4,268.4,0.25,0.14,4.09,-4.24,-25.46,8.46,150.13
mon15,76.68,11.41,6.1,494,395.2,3.8,30,8.71,63,10,86.5,217.2,0.43,0.72,4.23,-4.1,-25.43,7.38,135.78
mon15,76.68,11.41,5.9,505,404,3.5,59,2.11,30,10,74.55,219.6,0.29,0.64,1.06,-3.91,-22.98,8.3,120.05
mon15,76.68,11.41,5.8,501,400.8,3.8,52,21.31,38,10,60.35,341.6,0.4,0.73,0.64,-4.13,-23.17,9.87,175.47
mon15,76.69,11.4,6.2,503,402.4,4.3,64,14.52,30,10,78.1,219.6,0.29,0.71,0.26,-4.22,-23.4,10.36,139.85
mon15,76.69,11.4,6.3,513,410.4,4.6,88,23.01,31,7,74.55,439.2,0.07,0.7,1.47,-4.06,-24.94,7.55,202.82
mon15,76.69,11.4,6.2,495,396,3.8,82,7.32,42,10,72.95,380.8,0.15,1.12,4.92,-4.22,-25,8.76,165.91
