SampleI D,Long.,Lat.,pH,Cond. (μS),TDS(mg/ l),DO(mg/l),Ca(mg/ l),Mg(mg/l),Na(m g/l),K(mg/l),Cl(mg/l),HCO3(mg/l),SO4(mg/l),PO4(mg/l),SiO2,18OD,D,d-ex ,WQI,SAR,PI,Na%,RSC
pre15,76.69,11.41,7.1,292.0,233.6,4.8,24.0,6.05,55.0,5.0,85.2,122.0,0.6,1.2,15.0,-4.72,-30.43,7.33,93.41,122.21823189513678,716.1519181620583,66.62965019433649,91.95
pre15,76.68,11.4,7.2,181.0,144.8,3.8,28.0,11.52,39.0,3.0,120.7,73.2,0.4,0.87,1.19,-4.79,-30.77,7.55,85.5,50.23577826535249,536.6763184553978,51.521099116781166,33.68000000000001
pre15,76.68,11.41,6.9,211.0,168.8,3.6,28.0,11.52,43.0,2.0,85.2,146.4,0.22,0.72,1.19,-4.84,-33.73,4.99,98.4,61.06900329561916,606.5529679533327,53.241836251774735,106.88000000000001
pre15,76.68,11.41,6.7,141.0,112.8,3.3,18.0,13.98,31.0,2.0,121.3,24.4,0.54,0.31,3.2,-4.89,-31.49,7.63,73.06,42.1653321271572,452.8687374666848,50.784856879039694,-7.580000000000002
pre15,76.68,11.41,6.6,203.0,162.4,3.5,24.0,10.91,47.0,3.0,113.6,48.8,0.38,0.57,5.27,-4.86,-31.1,7.78,79.78,83.79045218181936,596.4997574710842,58.88587916617596,13.89
pre15,76.69,11.4,6.5,272.0,217.6,3.6,32.0,6.2,35.0,4.0,71.0,97.6,0.5,0.28,8.03,-4.81,-32.32,6.16,80.15,37.58234561708462,524.5540632735865,50.51813471502591,59.39999999999999
pre15,76.69,11.4,6.8,259.0,207.2,3.0,28.0,6.66,37.0,4.0,85.2,97.6,0.06,0.04,7.13,-4.83,-32.19,6.45,82.93,47.56582588946675,553.7866087168168,54.1897964578377,62.94
pre15,76.69,11.4,6.8,325.0,260.0,3.3,48.0,6.97,31.0,6.0,85.2,73.2,0.4,0.23,8.51,-4.85,-29.99,8.81,82.52,19.813039450695864,426.6144971268203,40.23050994889638,18.230000000000004
pre15,76.69,11.4,6.8,255.0,204.0,3.2,30.0,10.65,37.0,4.0,78.1,88.8,0.38,0.25,49.25,-4.24,-30.19,3.73,85.52,43.00393304387596,526.8245227844532,50.21432945499081,48.15
pre15,76.69,11.4,6.6,375.0,300.0,3.2,16.0,4.87,31.0,8.0,63.9,73.2,0.08,0.12,16.52,-4.68,-28.88,8.56,79.61,57.45979000060711,549.2258236771634,65.14113913479204,52.33
pre15,76.69,11.41,6.7,319.0,255.2,3.2,12.0,3.05,68.0,4.0,76.2,146.4,0.2,0.0,9.13,-4.55,-29.73,6.67,96.0,373.45923804616325,878.9424848731693,82.71108558299828,131.35
pre15,76.69,11.4,6.7,265.0,212.0,3.2,20.0,1.84,74.0,6.0,124.25,97.6,2.99,1.29,37.65,-4.84,-27.9,10.82,88.69,272.64858246479514,856.8035277957387,78.55459544383346,75.75999999999999
pre15,76.69,11.4,6.4,894.0,715.2,3.0,28.0,6.66,102.0,5.0,145.55,170.8,0.17,1.41,4.23,-5.19,-29.83,11.69,168.24,361.48637878306215,984.3234000984476,75.53296625723563,136.14000000000001
mon15,76.69,11.41,6.0,560.0,448.0,4.3,40.0,3.25,61.0,10.0,78.1,244.0,0.19,0.1,3.2,-4.21,-24.98,8.7,136.81,92.71945679165893,750.4243992470189,62.144420131291035,200.75
mon15,76.68,11.4,6.2,500.0,400.0,4.6,58.0,9.74,51.0,10.0,99.4,268.4,0.25,0.14,4.09,-4.24,-25.46,8.46,150.13,44.22556430486354,618.3741000701054,47.382320956967526,200.65999999999997
mon15,76.68,11.41,6.1,494.0,395.2,3.8,30.0,8.71,63.0,10.0,86.5,217.2,0.43,0.72,4.23,-4.1,-25.43,7.38,135.78,127.05343999640485,770.8145389963969,65.3477754901083,178.48999999999998
mon15,76.68,11.41,5.9,505.0,404.0,3.5,59.0,2.11,30.0,10.0,74.55,219.6,0.29,0.64,1.06,-3.91,-22.98,8.3,120.05,15.244491767492976,469.5460985234763,39.56087429532193,158.49
mon15,76.68,11.41,5.8,501.0,400.8,3.8,52.0,21.31,38.0,10.0,60.35,341.6,0.4,0.73,0.64,-4.13,-23.17,9.87,175.47,25.695267744615677,535.3603902911524,39.568048800593516,268.29
mon15,76.69,11.4,6.2,503.0,402.4,4.3,64.0,14.52,30.0,10.0,78.1,219.6,0.29,0.71,0.26,-4.22,-23.4,10.36,139.85,13.713983559684685,430.2356234892359,33.74957813027337,141.07999999999998
mon15,76.69,11.4,6.3,513.0,410.4,4.6,88.0,23.01,31.0,7.0,74.55,439.2,0.07,0.7,1.47,-4.06,-24.94,7.55,202.82,10.565250517665541,435.9989376159227,25.50164418495403,328.19
mon15,76.69,11.4,6.2,495.0,396.0,3.8,82.0,7.32,42.0,10.0,72.95,380.8,0.15,1.12,4.92,-4.22,-25.0,8.76,165.91,21.426990528433066,536.7959362696124,36.795924143787154,291.48
mon15,76.69,11.4,6.1,517.0,413.6,3.9,82.0,8.61,52.0,10.0,71.0,412.4,0.01,0.03,2.09,-4.2,-24.01,9.59,177.74,32.79532110694587,605.4930482883401,40.626433392307185,321.78999999999996
mon15,76.69,11.4,6.0,518.0,414.4,3.6,80.0,9.71,36.0,10.0,67.45,341.6,0.7,0.13,0.3,-4.21,-24.65,9.03,160.37,16.081974154570275,485.9275352209578,33.89580723601798,251.89000000000001
mon15,76.69,11.41,,,,,86.0,6.87,31.0,10.0,71.0,366.0,0.51,0.1,8.31,-4.16,-24.15,9.13,112.71,11.138934078578346,450.42697835917187,30.626727422125942,273.13
mon15,76.69,11.4,5.8,556.0,444.8,3.5,60.0,3.61,40.0,11.0,85.2,244.0,0.43,3.11,16.15,-5.04,-29.82,10.5,135.2,26.618530281563718,546.4293857906449,44.49873483989181,180.39
mon15,76.69,11.4,5.6,726.0,580.8,3.8,66.0,14.01,37.0,12.0,42.6,366.0,0.1,1.51,8.65,-5.21,-31.52,10.16,184.26,20.290322974696704,518.9102726059884,37.981551817688555,285.99
post15,76.69,11.41,5.7,543.0,434.4,3.5,42.0,6.45,24.0,6.0,67.45,73.2,0.14,0.07,5.82,-4.23,-24.56,9.29,93.01,13.555371042073148,382.47921643245627,38.24091778202677,24.75
post15,76.68,11.4,,,,,36.0,6.16,34.0,10.0,88.75,97.6,0.52,0.08,1.33,-4.13,-24.76,8.28,53.74,31.65109756586815,502.8007748196048,51.0677808727948,55.44
post15,76.68,11.41,5.6,523.0,418.4,3.8,24.0,6.1,34.0,10.0,74.55,97.6,0.26,0.12,16.04,-4.16,-23.8,9.48,99.78,46.682404755770406,548.0628833496454,59.37921727395412,67.5
post15,76.68,11.41,5.5,519.0,415.2,3.0,52.0,3.0,34.0,11.0,67.45,122.0,0.24,0.15,6.44,-4.03,-25.24,7.0,99.16,22.193864857250073,477.47987182339637,45.0,67.0
post15,76.68,11.41,,,,,16.0,12.17,26.0,8.0,63.9,97.6,0.28,0.08,0.43,-4.04,-24.91,7.41,57.08,33.62772508291733,487.48829835300313,54.68875663503297,69.42999999999999
post15,76.69,11.4,5.3,525.0,420.0,2.9,32.0,9.75,35.0,11.0,78.1,97.6,0.44,0.08,9.27,-4.0,-25.32,6.68,106.04,36.61920548777254,512.2790599916236,52.42165242165242,55.849999999999994
post15,76.69,11.4,,,,,20.0,23.71,32.0,10.0,78.1,122.0,0.4,0.17,0.02,-4.1,-24.85,7.95,83.94,33.012269535814426,494.7089090054047,49.00245012250612,78.28999999999999
post15,76.69,11.4,5.9,506.0,404.8,3.2,52.0,10.28,46.0,11.0,85.2,170.8,0.38,0.21,4.3,-4.38,-27.15,7.9,125.74,39.91970809984672,567.6567985581632,47.78672032193159,108.52000000000001
post15,76.69,11.4,5.5,498.0,398.4,2.8,44.0,9.07,41.0,11.0,106.5,122.0,0.57,0.03,16.18,-7.28,-48.98,9.26,114.52,37.41783277576638,536.6071478726432,49.49081564671172,68.93
post15,76.69,11.4,,,,,60.0,6.63,37.0,8.0,85.2,244.0,0.2,0.11,2.23,-4.12,-25.85,7.11,87.32,22.678630874785874,516.9067649871589,40.3117441547971,177.37
post15,76.69,11.41,5.4,534.0,427.2,2.6,36.0,18.87,35.0,11.0,63.9,146.4,0.07,0.03,21.28,-4.12,-24.6,8.37,129.44,30.1384532085765,496.83218973457423,45.60325171012194,91.53
post15,76.69,11.4,5.3,411.0,328.8,2.4,40.0,8.54,20.0,10.0,63.9,122.0,0.29,0.35,0.78,-5.17,-31.04,10.32,96.14,9.779595657240996,374.99429831041186,38.19709702062644,73.46000000000001
post15,76.69,11.4,5.2,666.0,532.8,2.5,52.0,6.73,42.1,12.0,81.65,244.0,0.3,0.74,2.09,-8.43,-58.93,8.51,147.51,33.80287865648844,574.8244017710409,47.948240716121596,185.26999999999998
pre16,76.69,11.41,7.53,667.0,533.6,6.0,66.0,5.83,52.0,5.6,85.2,292.8,0.24,0.8,12.31,-4.06,-25.32,7.16,162.25,40.81078759770988,621.0645666699261,44.50282005717376,220.97000000000003
pre16,76.68,11.4,7.71,668.0,534.4,2.5,75.4,9.86,62.1,5.5,92.3,361.2,0.25,0.55,6.3,-4.1,-28.05,4.74,174.34,50.71423759843809,668.1273151396545,44.223472458458716,275.94
pre16,76.68,11.41,6.46,669.0,535.2,1.0,64.0,9.64,41.7,5.5,78.1,317.2,0.24,0.66,5.89,-3.92,-27.41,3.96,180.68,26.86708684641052,554.116108759765,39.05991393578285,243.56
pre16,76.68,11.41,7.5,670.0,536.0,1.5,80.0,9.06,22.1,5.4,85.2,244.0,0.14,0.67,3.2,-4.06,-29.11,3.41,222.02,6.066346787026493,357.7693766851491,23.5929993136582,154.94
pre16,76.68,11.41,7.6,671.0,536.8,2.5,78.0,7.83,31.9,5.6,92.3,146.4,0.28,0.72,4.37,-4.01,-26.99,5.1,188.72,12.981040566297066,405.51322809871266,30.406227195329606,60.57000000000001
pre16,76.69,11.4,7.65,672.0,537.6,1.5,82.0,7.79,13.5,5.5,99.4,219.6,0.27,0.58,9.2,-4.11,-28.81,4.06,206.89,2.212599048516067,278.6424923900526,17.46484051843,129.81
pre16,76.69,11.4,7.44,673.0,538.4,2.5,52.0,15.14,32.0,5.5,92.3,170.8,3.17,0.73,1.19,-3.82,-27.57,2.95,248.69,18.907219560212287,452.6410332222134,35.837155963302756,103.66000000000001
pre16,76.69,11.4,7.66,674.0,539.2,2.0,64.0,4.21,42.0,5.1,85.2,244.0,3.13,0.72,6.51,-3.9,-26.44,4.75,294.8,27.50305898837591,548.8662370975266,40.84641401439598,175.79000000000002
pre16,76.69,11.4,7.59,675.0,540.0,1.5,66.0,5.77,31.8,5.2,85.2,244.0,0.26,0.86,1.33,-4.04,-27.24,5.08,317.02,15.263599380602743,465.96053452310986,34.016732554932425,172.23000000000002
pre16,76.69,11.4,7.65,676.0,540.8,6.0,70.0,11.56,11.9,5.1,85.2,170.8,0.29,0.73,6.03,-4.02,-26.52,5.63,332.61,1.995965925284115,258.2789936047879,17.248376623376625,89.24000000000001
pre16,76.69,11.41,7.66,677.0,541.6,5.0,64.0,6.1,41.6,5.1,92.3,195.2,0.32,0.85,3.2,-3.84,-26.48,4.26,337.99,26.918008474806108,525.8050421900409,39.982876712328775,125.1
pre16,76.68,11.41,7.55,681.0,544.8,2.5,70.0,6.42,61.2,8.0,78.1,219.6,0.27,0.56,1.68,-3.94,-28.36,3.18,333.55,53.28266116056175,648.0087100444273,47.520944925147646,143.18
pre16,76.68,11.4,7.55,683.0,546.4,2.0,58.0,5.49,41.2,5.0,85.2,195.2,0.3,0.7,6.23,-3.91,-27.75,3.51,387.14,29.135974590243617,539.2142979656462,42.11869814932993,131.70999999999998
pre16,76.69,11.4,7.55,686.0,548.8,1.5,56.0,3.0,51.6,4.9,85.2,195.2,0.29,0.68,0.12,-3.99,-27.72,4.22,334.38,47.477635111732994,623.5006183857414,48.917748917748916,136.2
